type,nr,localized_name,api_name,unoconv,extensions,flags
spreadsheet,10,Microsoft Excel 95,MS Excel 95,xls95,xls,IMPORT EXPORT ALIEN PREFERED
spreadsheet,11,StarCalc 4.0,StarCalc 4.0,sdc4,sdc,IMPORT EXPORT TEMPLATE OWN ALIEN 3RDPARTYFILTER
spreadsheet,12,Microsoft Excel 97/2000/XP,MS Excel 97,xls,xls xlm,IMPORT EXPORT ALIEN PREFERED
spreadsheet,13,Microsoft Excel 4.0 Template,MS Excel 4.0 Vorlage/Template,,,IMPORT TEMPLATE TEMPLATEPATH ALIEN
spreadsheet,14,ODF Spreadsheet Template,calc8_template,ots,ots,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN
spreadsheet,15,ODF Spreadsheet,calc8,ods,ods,IMPORT EXPORT TEMPLATE OWN DEFAULT
spreadsheet,16,Text CSV,Text - txt - csv (StarCalc),csv,csv,IMPORT EXPORT ALIEN USESOPTIONS
spreadsheet,17,Rich Text Format (OpenOffice.org Calc),Rich Text Format (StarCalc),,,IMPORT ALIEN
spreadsheet,18,StarCalc 3.0 Template,StarCalc 3.0 Vorlage/Template,vor3,vor,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN 3RDPARTYFILTER
spreadsheet,19,StarCalc 4.0 Template,StarCalc 4.0 Vorlage/Template,vor4,vor,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN 3RDPARTYFILTER
spreadsheet,20,StarCalc 5.0 Template,StarCalc 5.0 Vorlage/Template,vor,vor,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN 3RDPARTYFILTER
spreadsheet,21,Microsoft Excel 95 Template,MS Excel 95 Vorlage/Template,xlt95,xlt,IMPORT EXPORT TEMPLATE TEMPLATEPATH ALIEN
spreadsheet,22,dBASE,dBase,dbf,dbf,IMPORT EXPORT ALIEN USESOPTIONS
spreadsheet,23,Microsoft Excel 2003 XML,MS Excel 2003 XML,ooxml,xlsx xlsm xml,IMPORT EXPORT ALIEN 3RDPARTYFILTER
spreadsheet,24,Microsoft Excel 2007 XML,Calc MS Excel 2007 XML,xlsx,xlsx xlsm,IMPORT ALIEN 3RDPARTYFILTER PREFERED
spreadsheet,25,Microsoft Excel 2007 Binary,Calc MS Excel 2007 Binary,,xlsb,IMPORT ALIEN 3RDPARTYFILTER PREFERED
spreadsheet,26,XHTML,XHTML Calc File,xhtml,xhtml,EXPORT ALIEN 3RDPARTYFILTER
spreadsheet,27,StarCalc 1.0,StarCalc 1.0,,,IMPORT ALIEN
spreadsheet,28,Microsoft Excel 5.0 Template,MS Excel 5.0/95 Vorlage/Template,xlt5,xlt,IMPORT EXPORT TEMPLATE TEMPLATEPATH ALIEN
spreadsheet,29,StarCalc 3.0,StarCalc 3.0,sdc3,sdc,IMPORT EXPORT TEMPLATE OWN ALIEN 3RDPARTYFILTER
spreadsheet,30,Quattro Pro 6.0,Quattro Pro 6.0,,,IMPORT ALIEN PREFERED
spreadsheet,31,StarCalc 5.0,StarCalc 5.0,sdc,sdc,IMPORT EXPORT TEMPLATE OWN ALIEN 3RDPARTYFILTER
spreadsheet,32,Microsoft Excel 4.0,MS Excel 4.0,,,IMPORT ALIEN PREFERED
spreadsheet,33,Lotus 1-2-3,Lotus,,,IMPORT ALIEN USESOPTIONS PREFERED
spreadsheet,34,PDF - Portable Document Format,calc_pdf_Export,pdf,pdf,EXPORT ALIEN 3RDPARTYFILTER
spreadsheet,35,SYLK,SYLK,slk,slk,IMPORT EXPORT ALIEN
drawing,1,PSD - Adobe Photoshop,PSD - Adobe Photoshop,,,IMPORT ALIEN
drawing,2,PNG - Portable Network Graphic,draw_png_Export,png,png,EXPORT ALIEN SUPPORTSSELECTION
drawing,3,JPEG - Joint Photographic Experts Group,draw_jpg_Export,jpg,jpg,EXPORT ALIEN SUPPORTSSELECTION
drawing,4,WMF - Windows Metafile,WMF - MS Windows Metafile,,,IMPORT ALIEN
drawing,5,PPM - Portable Pixelmap,draw_ppm_Export,ppm,ppm,EXPORT ALIEN SUPPORTSSELECTION
drawing,6,ODF Drawing,draw8,odd,odd,IMPORT EXPORT TEMPLATE OWN DEFAULT PREFERED
drawing,7,RAS - Sun Raster Image,RAS - Sun Rasterfile,ras,ras,IMPORT ALIEN
drawing,8,WMF - Windows Metafile,draw_wmf_Export,wmf,wmf,EXPORT ALIEN SUPPORTSSELECTION
drawing,9,XPM - X PixMap,XPM,,,IMPORT ALIEN
drawing,10,SGV - StarDraw 2.0,SGV - StarDraw 2.0,,,IMPORT ALIEN
drawing,11,PGM - Portable Graymap,draw_pgm_Export,pgm,pgm,EXPORT ALIEN SUPPORTSSELECTION
drawing,12,EMF - Enhanced Metafile,EMF - MS Windows Metafile,,,IMPORT ALIEN
drawing,13,TIFF - Tagged Image File Format,draw_tif_Export,tiff,tiff,EXPORT ALIEN SUPPORTSSELECTION
drawing,14,PBM - Portable Bitmap,draw_pbm_Export,pbm,pbm,EXPORT ALIEN SUPPORTSSELECTION
drawing,15,EMF - Enhanced Metafile,draw_emf_Export,emf,emf,EXPORT ALIEN SUPPORTSSELECTION
drawing,16,SVM - StarView Metafile,SVM - StarView Metafile,,,IMPORT ALIEN
drawing,17,SGF - StarWriter Graphics Format,SGF - StarOffice Writer SGF,,,IMPORT ALIEN
drawing,18,JPEG - Joint Photographic Experts Group,JPG - JPEG,,,IMPORT ALIEN
